Subdiv,Block,Unit,Shape_Leng,Shape_Area
Barbary Coast,3,6,797.12245893,19938.762693
Barbary Coast,4,2,659.54669384,21157.6441081
Barbary Coast,4,3,2860.60394424,103991.814533
Barbary Coast,4,6,551.744932741,14590.4509247
Barbary Coast,4,7,1629.70952085,33206.2848033
Barbary Coast,5,2,1893.68588033,37552.863854
Barbary Coast,5,3,1345.33244092,67769.0200168
Barbary Coast,5,6,385.654247818,9165.74697587
Barbary Coast,5,7,1141.48846097,40850.0653215
Barbary Coast,6,2,1837.99288608,73072.0123077
Barbary Coast,6,6,974.497500321,24552.386358
Barbary Coast,6,7,1317.06650508,47855.291636
Barbary Coast,7,2,1055.49817844,38041.5189275
Barbary Coast,7,6,2197.8704214,63675.8022708
Barbary Coast,7,7,922.540142318,30715.415631
Barbary Coast,8,2,1415.32068733,55667.1738974
Barbary Coast,8,7,840.501637771,16832.51956
Barbary Coast,9,2,725.463183319,24184.8775735
Bell Channel Bay,1,1,1962.78352397,41519.002646
Bell Channel Bay,10,4,3195.02247958,104400.118459
Bell Channel Bay,11,4,1929.79631359,58660.0454715
Bell Channel Bay,12,4,1895.95891747,54378.332467
Bell Channel Bay,13,4,1117.29058813,30667.7596302
Bell Channel Bay,14,4,1090.93932675,23516.219561
Bell Channel Bay,2,1,2081.31964758,43979.1101885
Bell Channel Bay,3,2,1072.46906732,21139.5228709
Bell Channel Bay,4,2,463.64456197,9685.32852357
Bell Channel Bay,5,2,945.727377842,22953.012509
Bell Channel Bay,6,3,785.862140695,23657.611653
Bell Channel Bay,7,3,946.129499809,20510.5719229
Bell Channel Bay,8,3,1725.1951778,44779.3381049
Bell Channel Bay,9,4,1204.04979296,44038.6938315
Bristol Bay,1,1,4764.55463844,144449.162275
Bristol Bay,10,2,904.970612843,31517.724391
Bristol Bay,11,2,1469.70947984,60359.1993419
Bristol Bay,12,2,1271.54523267,26529.7422191
Bristol Bay,2,1,568.932501677,17845.5547813
Bristol Bay,3,1,1163.05094711,45463.6520719
Bristol Bay,4,1,869.596433469,32411.4739986
Bristol Bay,9,2,1814.88277172,74086.0761221
Cannon Bay,1,1,8630.79083767,265235.718809
Cannon Bay,2,1,1941.28446971,51796.5887404
Cannon Bay,3,2,8215.25508195,251338.10007
Caravelle Bay,27,,9043.0346206,257506.8486
Central Area,,,1756.22355273,57425.4025049
Central Area,,,650.77904981,22571.1319947
Central Area,A,,1328.0947589,79215.5556324
Central Area,B,,1098.93293638,72142.6174401
Central Area,C,,1491.74611096,76896.9931148
Central Area,D,,1001.56867033,53256.1429494
Central Area,E,,4909.40795246,109858.247192
Central Area,F,,993.22631946,40898.3903281
Central Area,G,,1013.44874527,42519.3956767
Central Area,H,,2929.03179002,119709.748596
Central Area,I,,545.163106896,16988.03893
Central Area,J,,1023.60740573,47262.4584734
Central Area,K,,2262.39148309,121362.860242
Central Area,L,,1029.22472969,43373.874026
Central Area,M,,3341.70783288,158716.944383
Central Area,N,,886.987686671,30654.8143874
Central Area,O,,2034.481706,104048.549022
Central Area West,,,537.932937027,18497.8015624
Central Area West,A,,1425.45707566,58805.1443214
Chesapeake,1,,570.170709396,18282.077237
Chesapeake,10,,6809.4497337,164235.993035
Chesapeake,11,,1142.72425746,40708.5377072
Chesapeake,12,,591.454942128,18552.787567
Chesapeake,13,,1356.83156966,55367.7369436
Chesapeake,14,,705.303197255,24707.7437043
Chesapeake,15,,4456.76323245,98813.1965097
Chesapeake,16,,1122.53113435,42561.4364659
Chesapeake,17,,842.423210375,29962.5803096
Chesapeake,18,,821.346818337,29601.2529559
Chesapeake,19,,613.909754101,20413.0348653
Chesapeake,2,,3388.8914595,70984.4821262
Chesapeake,20,,595.297887154,19474.6502423
Chesapeake,21,,5527.01395331,119875.811638
Chesapeake,22,,764.255921146,26124.6946333
Chesapeake,23,,2897.39227297,72517.0088146
Chesapeake,24,,754.150186319,13522.2612172
Chesapeake,24,,1819.82806891,54473.5170394
Chesapeake,25,,564.582557802,19055.7634838
Chesapeake,26,,1279.03163736,46612.7645407
Chesapeake,27,,1063.3270088,22715.2222191
Chesapeake,28,,1119.47297372,35918.6289706
Chesapeake,29,,823.240587566,27596.1898911
Chesapeake,3,,648.701934142,10735.2917609
Chesapeake,30,,763.151437451,15747.4392994
Chesapeake,31,,1684.42682463,46988.0952794
Chesapeake,32,,823.157820452,29170.9626739
Chesapeake,33,,3054.45241593,70661.497139
Chesapeake,4,,711.761558682,14149.7421562
Chesapeake,5,,1012.12450013,33212.2918785
Chesapeake,6,,8297.58555637,209854.82449
Chesapeake,7,,4717.97659192,124438.349769
Chesapeake,8,,706.367373162,15488.1678243
Chesapeake,9,,718.923727781,28162.716509
Civic Industrial Area,A,,3081.73134792,139551.348794
Civic Industrial Area,B,,770.367386751,26725.0869157
Civic Industrial Area,BB,,1347.76001531,63281.3502137
Civic Industrial Area,C,,520.873941424,14344.8563868
Civic Industrial Area,CC,,1707.61185997,129031.558126
Civic Industrial Area,D,,1645.49891416,80076.9141478
