Y,X,OBJECTID,Bus_Bay,Shelter,ST_NAME,Region
26.517092823375,-78.7014045210857,71,,,Sunrise Hwy,Freeport
26.520948490412,-78.699272736029,72,,,W Atlantic Dr,Freeport
26.5453720635689,-78.6968356641645,73,,,Queens Hwy,Freeport
26.5345899311191,-78.6917446666002,74,,,Explorers Wy,Freeport
26.534246977363,-78.6923380533342,75,,,Explorers Wy,Freeport
26.507665996007,-78.6954116056653,76,,,S Mall Dr,Freeport
26.5003819207264,-78.6952918499753,77,,,S Mall Dr,Freeport
26.5362236220179,-78.7040312072791,78,,,W Settlers Wy,Freeport
26.5363114611515,-78.7042014833816,79,,,W Settlers Wy,Freeport
26.5366203714885,-78.6983578949841,80,,,W Atlantic Dr,Freeport
26.521937305768,-78.6936271784596,81,,,The Mall Dr,Freeport
26.5220877537448,-78.6933047597009,82,Yes,,The Mall Dr,Freeport
26.5218064584608,-78.6868567305303,83,,,Poinciana Dr,Freeport
26.521946971653,-78.6868747276285,84,,,Poinciana Dr,Freeport
26.5172079078491,-78.7071102514172,85,Yes,,Sunrise Hwy,Freeport
26.5033909015988,-78.6954141103061,86,,,S Mall Dr,Freeport
26.5368579606559,-78.5935646567458,87,Yes,Yes,Doubloon Rd,Lucaya
26.5045876280342,-78.653311887832,88,No,No,,
26.5045221969997,-78.6531877937508,89,No,No,,
26.5038240363951,-78.653998300782,90,No,No,,
26.5109155804241,-78.6449517214751,91,No,No,,
26.5175380227873,-78.6503548406719,92,No,No,,
