OBJECTID,AREA,BUILDIN_ID,Shape_Leng,Shape_Area
12115,0,0,40.1229193889,100.1796225
12116,0,0,40.4864525086,101.965692998
12117,0,0,24.8353771047,38.3387569996
12118,0,0,37.0459195603,85.7660165007
12119,0,0,44.9452719777,83.2963145015
12120,0,0,56.1393944469,156.007077499
12121,0,0,49.4216252259,137.662315997
12122,0,0,53.1946752758,153.635997997
12123,0,0,49.4103882175,126.783179497
12124,0,0,35.6090742619,75.0652115034
12125,0,0,64.9671032935,208.491362996
12126,0,0,79.0598258859,305.4898415
12127,0,0,56.6967337324,142.009254002
12128,0,0,57.7856958574,172.388332497
12129,0,0,38.3828124639,90.6346100006
12130,0,0,42.4287006119,107.643747501
12131,0,0,43.2268629609,116.614577002
12132,0,0,45.9188646852,123.420977499
12133,0,0,33.5985308292,59.6044635013
12134,0,0,65.6342201054,194.929908001
12135,0,0,31.8180960454,63.1904034992
12136,0,0,46.5005534328,116.812889499
12137,0,0,46.0695199933,120.425497002
12138,0,0,38.4857777991,88.4197859985
12139,0,0,68.1380839368,185.280543507
12140,0,0,44.7745464608,122.069752499
12141,0,0,45.965539232,130.113032002
12142,0,0,54.3123149737,147.698630001
12143,0,0,64.5023360167,205.706937999
12144,0,0,67.4764931589,230.413122997
12145,0,0,73.0801691583,332.266871996
12146,0,0,65.9479690512,244.031131997
12147,0,0,52.7523743193,152.826438997
12148,0,0,45.0373153884,106.1583195
12149,0,0,48.8413861225,128.499391501
12150,0,0,41.2547868858,97.4988529987
12151,0,0,41.5534658602,86.2007439978
12152,0,0,47.566986056,135.626587503
12153,0,0,83.4564821039,287.971293998
12154,0,0,62.2756381945,182.503225498
12155,0,0,68.4312948157,256.213311005
12156,0,0,80.0496365297,208.863710996
12157,0,0,30.2748234025,56.5120765006
12158,0,0,39.9610905454,65.5880295007
12159,0,0,41.6917064516,87.1840184981
12160,0,0,44.0901647859,93.4056319954
12161,0,0,35.7088500535,76.1387530007
12162,0,0,48.3984970508,133.075634
12163,0,0,39.1368623459,89.7498819988
12164,0,0,34.834991775,75.597479997
12165,0,0,66.8311294158,184.178622998
12166,0,0,47.6497519194,128.487470997
12167,0,0,40.8888078228,83.2299455003
12168,0,0,49.5542764252,119.356386
12169,0,0,43.8370563341,117.434545001
12170,0,0,43.8868051239,117.046883999
12171,0,0,42.8586607349,114.560559997
12172,0,0,42.6298813969,113.015925502
12173,0,0,43.9322455158,116.387384993
12174,0,0,36.6479438392,72.2254460032
12175,0,0,41.0805241943,93.1388574991
12176,0,0,52.3842853145,158.657777499
12177,0,0,37.2598990112,85.3247719992
12178,0,0,46.6841737219,106.073787998
12179,0,0,53.8633871735,131.264016503
12180,0,0,24.4543566097,35.8050755011
12181,0,0,47.0812439034,98.3757745023
12182,0,0,25.5435587952,40.2135494981
12183,0,0,47.2392459323,113.241616502
12184,0,0,44.0590568484,120.815898002
12185,0,0,62.6737620755,236.206233499
12186,0,0,49.1771177122,140.479914001
12187,0,0,68.9108935188,230.829748496
12188,0,0,54.2990191936,159.113462003
12189,0,0,34.1876062372,73.0475874963
12190,0,0,38.3703586116,89.6353129979
12191,0,0,52.1396651191,158.767663001
12192,0,0,38.5635592627,74.4136229994
12193,0,0,56.7437743204,154.3180375
12194,0,0,35.2995264497,69.4755595012
12195,0,0,38.0017702836,86.2673189971
12196,0,0,47.469756099,121.985800995
12197,0,0,54.5129425643,129.634743002
12198,0,0,29.1440464173,51.1108110004
12199,0,0,52.8251081844,145.724423497
12200,0,0,42.8183332119,103.424638
12201,0,0,50.2964061839,126.883343005
12202,0,0,39.7483048744,87.0441105009
12203,0,0,39.4529201318,88.8741849979
12204,0,0,53.4301743751,148.358669998
12205,0,0,60.6965377133,126.607865497
12206,0,0,44.2529414259,100.654293501
12207,0,0,51.17350438,115.593329502
12208,0,0,48.0694283333,143.680679503
12209,0,0,68.2111911365,199.961904001
12210,0,0,54.4127268579,132.759150001
12211,0,0,51.5596550326,142.130543001
12212,0,0,39.0111181012,82.2173340009
12213,0,0,68.5836259071,262.193706502
12214,0,0,49.5303659728,113.188674002
12215,0,0,47.1531032351,120.272969998
12216,0,0,47.6238775667,115.1875065
12217,0,0,33.2808163983,66.5255680017
12218,0,0,32.7951938544,64.7977389963
12219,0,0,46.9366226146,125.749400499
12220,0,0,50.7210812222,111.724575997
12221,0,0,25.5402160793,40.7176799967
12222,0,0,27.5222476251,46.9989509994
12223,0,0,26.1490492411,42.7096620001
12224,0,0,44.9564198202,125.962320003
12225,0,0,50.3769808161,156.954015995
12226,0,0,39.5671030188,92.997871
12227,0,0,42.339061218,99.0684540011
12228,0,0,69.3536704237,263.202413998
12229,0,0,41.5912067245,101.520873501
12230,0,0,39.1790236842,95.8311545014
12231,0,0,36.9167198547,79.3806869982
12232,0,0,36.1060651106,76.942280002
12233,0,0,40.8611262265,92.4308889981
12234,0,0,60.2123701156,167.022661501
12235,0,0,42.5358558608,93.5955494989
12236,0,0,45.1671861145,111.348124501
12237,0,0,34.9272159232,73.8357789995
12238,0,0,54.6740791214,151.279969997
12239,0,0,45.4632253153,107.2327115
12240,0,0,43.864519986,108.541700999
12241,0,0,71.4532353823,158.861134994
