OBJECTID,LENGTH,PREFIX,ST_NAME,SUFFIX,ONEWAY,ST_TYPE,ROW,len,Shape_Leng
765,509.30839799000,,Waterfoot,Drive,0,Minor,60,0.00000000000,509.30772446400
766,67.76994160000,,Thistleton,Road,0,Minor,50,0.00000000000,67.76995006240
767,127.58066971000,,Thistleton,Road,0,Minor,50,0.00000000000,127.57905530000
768,184.87817675000,,Arnside,Terrace,0,Minor,50,0.00000000000,184.87707104100
769,183.63235227000,,Thirlmere,Avenue,0,Minor,50,0.00000000000,183.62922320900
770,58.27612424000,,Thirlmere,Avenue,0,Minor,50,0.00000000000,58.27603108250
771,101.60356313000,,Thirlmere,Avenue,0,Minor,50,0.00000000000,101.60347375600
772,25.16199059000,,Thirlmere,Avenue,0,Minor,100,0.00000000000,25.16188753190
573,181.85575190000,,Boltongate,Drive,0,Minor,60,0.00000000000,181.85565119000
574,183.74483299000,,Boltongate,Drive,0,Minor,60,0.00000000000,183.74436373200
575,173.30931747000,,Borrow Dale,Court,0,Minor,50,0.00000000000,173.30922790400
576,182.46379321000,,Borrow Dale,Lane,0,Minor,50,0.00000000000,182.46385599900
577,218.63270946000,,Borrow Dale,Place,0,Minor,50,0.00000000000,218.63284011700
578,98.51132554000,,Amblecote,Court,0,Minor,50,0.00000000000,98.51100722390
579,482.09401999000,,Axborough,Avenue,0,Minor,50,0.00000000000,482.09376991500
580,184.37786292000,,Axborough,Road,0,Minor,50,0.00000000000,184.37787323300
581,183.53412169000,,Axborough,Road,0,Minor,50,0.00000000000,183.53421086100
582,183.68271043000,,Axborough,Road,0,Minor,50,0.00000000000,183.68265659400
583,433.54768528000,,Amblecote,Road,0,Minor,50,0.00000000000,433.54765709900
584,815.52509635000,,Amblecote,Lane,0,Minor,50,0.00000000000,815.51918872100
585,365.40935492000,,Ashwood,Drive,0,Minor,50,0.00000000000,365.40954572600
586,267.63177608000,,Aston,Road,0,Minor,50,0.00000000000,267.63180795900
587,186.75086465000,,Ashwood,Drive,0,Minor,50,0.00000000000,186.74977049400
588,182.73621110000,,Arbury Hall,Road,0,Minor,60,0.00000000000,182.73533220000
589,183.62654714000,,Arbury Hall,Road,0,Minor,60,0.00000000000,183.62633489400
590,380.73369466000,,Arbury Hall,Road,0,Minor,60,0.00000000000,380.73383679600
591,250.26232342000,,Arbury Hall,Road,0,Minor,60,0.00000000000,250.26194027800
592,115.94167810000,,Arbury Hall,Road,0,Minor,60,0.00000000000,115.94153205800
593,163.03800546000,,Arbury Hall,Road,0,Minor,60,0.00000000000,163.03807478100
594,66.71518605000,North,Perimeter,Parkway,0,Arterial,125,0.00000000000,66.71503616610
780,533.66987961000,,Intercounty,Parkway,0,Major,150,0.00000000000,533.66812521800
781,306.35588359000,,St. Michaels,Road,0,Minor,60,0.00000000000,306.35308457100
782,79.78291517000,,St. Michaels,Road,0,Minor,60,0.00000000000,79.78259894220
783,220.29241215000,,St. Michaels,Road,0,Minor,60,0.00000000000,220.29130660800
788,193.67747368000,,St. Michaels,Road,0,Minor,60,0.00000000000,193.67597695600
789,90.70904325000,,Northhampton,Drive,0,Minor,50,0.00000000000,90.70638078300
790,133.63337149000,,Northhampton,Drive,0,Minor,50,0.00000000000,133.63273784200
791,218.32165496000,,Northhampton,Drive,0,Minor,50,0.00000000000,218.32130372200
792,184.13666077000,,Northhampton,Drive,0,Minor,50,0.00000000000,184.13572611100
793,406.85803872000,,Northhampton,Drive,0,Minor,50,0.00000000000,406.85135991600
794,204.77603919000,,Sailsbury,Lane,0,Minor,50,0.00000000000,204.76753159200
795,16.27493834000,,Sailsbury,Drive,0,Minor,50,0.00000000000,16.27285985750
796,318.61778003000,,Sailsbury,Drive,0,Minor,50,0.00000000000,318.61665896700
797,34.93541472000,,Sailsbury,Drive,0,Minor,50,0.00000000000,34.93390053940
798,184.33226199000,,Sailsbury,Drive,0,Minor,50,0.00000000000,184.33155883000
799,553.96224046000,,Sartfell,Terrace,0,Minor,50,0.00000000000,553.94831568400
800,20.39141930000,,Sartfell,Close,0,Minor,100,0.00000000000,20.39146457310
801,158.97906984000,,Sartfell,Close,0,Minor,50,0.00000000000,158.97863201200
802,188.89386983000,,Sartfell,Close,0,Minor,50,0.00000000000,188.89370611600
803,196.62301288000,,Eskdale,Drive,0,Minor,50,0.00000000000,196.62281537200
804,133.66302018000,,Eskdale,Court,0,Minor,50,0.00000000000,133.66123389100
805,20.00532160000,,Grange,Place,0,Minor,50,0.00000000000,20.00536551790
806,718.52629703000,,Grange,Place,0,Minor,50,0.00000000000,718.52556001100
807,181.67034928000,,Parkend,Lane,0,Minor,50,0.00000000000,181.67021144700
808,649.88969760000,,Parkend,Drive,0,Minor,50,0.00000000000,649.88892944000
809,359.26047391000,,Parkend,Drive,0,Minor,50,0.00000000000,359.26008342300
810,240.26465406000,,Orton,Road,0,Minor,50,0.00000000000,240.26388917100
811,151.11792588000,,Nenthall,Drive,0,Minor,50,0.00000000000,151.11765115900
812,399.56523243000,,Nenthall,Drive,0,Minor,50,0.00000000000,399.56468470700
813,181.09333467000,,Nenthall,Drive,0,Minor,50,0.00000000000,181.09247196900
814,267.05355559000,,Nenthall,Drive,0,Minor,50,0.00000000000,267.05298824600
815,163.17270966000,,Morland,Road,0,Minor,50,0.00000000000,163.16677724600
816,15.08379292000,,Morland,Road,0,Minor,50,0.00000000000,15.08394554700
817,228.19355158000,,Morland,Road,0,Minor,50,0.00000000000,228.19039599600
818,28.03965390000,,Morland,Avenue,0,Minor,50,0.00000000000,28.03954572170
819,267.66094959000,,Morland,Avenue,0,Minor,50,0.00000000000,267.65784960700
820,182.29160417000,,Morland,Avenue,0,Minor,50,0.00000000000,182.29142327800
821,339.56417534000,,Morland,Terrace,0,Minor,50,0.00000000000,339.56186708400
822,150.33915366000,,Morland,Terrace,0,Minor,50,0.00000000000,150.33933857900
823,153.08261679000,,Morland,Terrace,0,Minor,50,0.00000000000,153.08164186300
824,168.64428371000,,Mawbray,Drive,0,Minor,60,0.00000000000,168.64416392100
827,134.09868832000,,Holm,Road,0,Minor,50,0.00000000000,134.09720427300
828,183.64032626000,,Caldbeck,Drive,0,Major,60,0.00000000000,183.63987025000
829,221.55031599000,,Caldbeck,Drive,0,Major,60,0.00000000000,221.54987211500
830,218.62581408000,,Caldbeck,Drive,0,Major,60,0.00000000000,218.62439054800
831,101.19483867000,,Caldbeck,Drive,0,Major,60,0.00000000000,101.19398898300
832,233.71310760000,,Caldbeck,Drive,0,Major,60,0.00000000000,233.71162054800
833,187.31681906000,,Caldbeck,Drive,0,Major,60,0.00000000000,187.31467838000
834,189.03909705000,,Caldbeck,Drive,0,Major,60,0.00000000000,189.03847795000
835,148.84401053000,,Caldbeck,Drive,0,Major,60,0.00000000000,148.84220376700
836,49.15888102000,,Hawkshead,Place,0,Minor,100,0.00000000000,49.15894182360
837,28.74620565000,,Hawkshead,Place,0,Minor,50,0.00000000000,28.74408393570
838,376.74091985000,,Hawkshead,Place,0,Minor,50,0.00000000000,376.73584725900
839,125.41375054000,,Helton,Road,0,Minor,100,0.00000000000,125.41352255800
840,238.71172828000,,Blacnhland,Lane,0,Minor,50,0.00000000000,238.70950678700
841,698.72496227000,,Caldbeck,Drive,0,Major,60,0.00000000000,698.72080429700
842,697.83616845000,,Catton,Avenue,0,Minor,50,0.00000000000,697.83203271200
843,291.13489832000,,Corby,Avenue,0,Minor,50,0.00000000000,291.13280309600
844,269.56982369000,,Caldbeck,Drive,0,Major,60,0.00000000000,269.56938158200
845,169.24831182000,,Dufton,Court,0,Minor,50,0.00000000000,169.24844153400
846,184.64206772000,,Dufton,Avenue,0,Minor,50,0.00000000000,184.64158902100
847,218.94717772000,,Dufton,Avenue,0,Minor,50,0.00000000000,218.94466961500
848,178.90026760000,,Holm,Road,0,Minor,50,0.00000000000,178.89996820600
849,255.05188644000,,Caldbeck,Drive,0,Major,60,0.00000000000,255.05133860700
850,349.25687557000,,Caldbeck,Drive,0,Major,60,0.00000000000,349.25624900600
851,425.55739030000,,Caldbeck,Drive,0,Major,60,0.00000000000,425.55636489800
852,186.08445083000,,Glasson,Drive,0,Minor,50,0.00000000000,186.08438670100
853,157.77264444000,,Corby,Avenue,0,Minor,50,0.00000000000,157.77218583000
854,183.98813097000,,Corby,Avenue,0,Minor,50,0.00000000000,183.98710588600
855,179.03824077000,,Intercounty,Parkway,0,Major,150,0.00000000000,179.03172722300
856,329.02727150000,,Intercounty,Parkway,0,Major,150,0.00000000000,329.02517222800
857,623.15489378000,,Intercounty,Parkway,0,Major,150,0.00000000000,623.15239238700
858,95.34525650000,,Holkham,Close,0,Minor,50,0.00000000000,95.34532182410
859,171.82395965000,,Holkham,Lane,0,Minor,50,0.00000000000,171.81513784400
860,198.71400554000,,Grimsthorpe,Drive,0,Minor,50,0.00000000000,198.71361117500
861,174.38568585000,,Grimsthorpe,Drive,0,Minor,50,0.00000000000,174.38451316900
862,305.82727843000,,Fitzanculf,Road,0,Minor,50,0.00000000000,305.82237222800
863,96.41529494000,,Elenley,Lane,0,Minor,50,0.00000000000,96.41471897710
864,240.88210263000,,Elenley,Lane,0,Minor,50,0.00000000000,240.88146531200
865,183.83182154000,,Grimsthorpe,Drive,0,Minor,50,0.00000000000,183.83163124100
866,551.28771419000,,Eye Manor,Road,0,Minor,50,0.00000000000,551.28440945100
867,206.04540636000,,Eye Manor,Road,0,Minor,50,0.00000000000,206.04374073300
868,154.14809582000,,Fitzanculf,Road,0,Minor,50,0.00000000000,154.14503046600
869,149.17481161000,,Beckfoot,Close,0,Minor,50,0.00000000000,149.17381026200
870,754.56949000000,,Blickling Hall,Drive,0,Minor,50,0.00000000000,754.56523012700
871,257.64102864000,,Blickling Hall,Drive,0,Minor,50,0.00000000000,257.64018342600
872,180.07828629000,,Blickling Hall,Drive,0,Minor,50,0.00000000000,180.07768288800
873,384.01139384000,,Brunstock,Avenue,0,Minor,50,0.00000000000,384.01152272000
874,27.53792906000,,Brunstock,Avenue,0,Minor,50,0.00000000000,27.53279159580
875,368.50334302000,,Brunstock,Avenue,0,Minor,50,0.00000000000,368.49687091500
876,27.68420650000,,Brunstock,Avenue,0,Minor,50,0.00000000000,27.68421629460
877,183.58440340000,,Brunstock,Avenue,0,Minor,50,0.00000000000,183.58193602800
878,189.01945895000,,Brunstock,Avenue,0,Minor,50,0.00000000000,189.01778942800
879,367.32689341000,,Blanchland,Place,0,Minor,50,0.00000000000,367.32669521600
880,34.62621480000,,Blanchland,Place,0,Minor,50,0.00000000000,34.62611292600
881,163.80280405000,,Blanchland,Place,0,Minor,50,0.00000000000,163.80192607800
882,30.96620054000,,Blanchland,Place,0,Minor,50,0.00000000000,30.96626791380
883,140.97112840000,,Blanchland,Place,0,Minor,50,0.00000000000,140.97107987100
884,189.89600265000,,Blacnhland,Lane,0,Minor,50,0.00000000000,189.89337266700
