Id,Region,Subdiv,Shape_Leng,Shape_Area
0,FCI,Caravel Beach,1123.99843337000,63450.18546680000
0,FCI,Bahamia South,10036.66639050000,5042637.96377000026
0,FCI,Caravel Beach,4581.59121188000,591759.68263000005
0,FCI,Hawaiian Estates,1084.76412375000,72143.02491599999
0,FCI,Caravel Beach,1568.65379377000,130615.90076400001
0,FCI,Royal Bahamia,5308.20944066000,1649207.99046000000
0,FCI,Exotica,2302.33131417000,269637.69009400002
0,FCI,Maliboo Reef,2719.46784604000,283986.75763800001
0,FCI,Sunrise,926.93050584100,54741.78093960000
0,FCI,Britannia,8254.55602126000,2142246.73555999994
0,FCI,Sunset Park,6549.89479418000,658812.42470199999
0,FCI,West Section,3296.63562201000,428610.50103300001
0,FCI,Central Area West,3574.49034909000,268375.42288899998
0,FCI,Bahamia North,5373.82313384000,1578479.70607000007
